Business Name,Category,Full Address,Phone,Website,Rating (5),Phone Verified,Source
Pellico 3 Milano,restaurants,"Via Silvio Pellico, 3, 20121 Milano MI",02 8821 1234,https://pellico3milano.it,4.9,Yes,Google Maps
Moon Cafè,restaurants,"Piazza Giovanni Perego, 7, 20154 Milano MI",,,4.9,No,Google Maps
Sine by Di Pinto,restaurants,"Viale Umbria, 126, 20135 Milano MI",02 3659 4613,http://sinerestaurant.com,4.8,Yes,Google Maps
Ristorante Bosco Verticale,restaurants,"Via Volturno, Via Federico Confalonieri, 15, 20124 Milano MI",02 688 0836,,4.7,Yes,Google Maps
142 Restaurant & Café Bistrot,restaurants,"Corso Cristoforo Colombo, 6, 20144 Milano MI",349 856 1278,http://www.142.restaurant,4.7,Yes,Google Maps
Pasta Fresca Da Giovanni,restaurants,"Via Ascanio Sforza, 31, 20136 Milano MI",347 259 6011,https://pastafrescadagiovanni.altervista.org,4.7,Yes,Google Maps
L'Amùri Sicilian Restaurant Milano,restaurants,"Via Maestri Campionesi, 30, 20135 Milano MI",02 3653 2833,https://www.lamuri.it,4.7,Yes,Google Maps
Il Giardino Bar & Restaurant,restaurants,"Via Giovanni Battista Fauchè, 15, 20154 Milano MI",338 666 6932,https://www.unaitalianhospitality.com/it/ristoranti/il-giardino-restaurant,4.7,Yes,Google Maps
Deros Ristorante,restaurants,"Via Romagnosi, 4, 20121 Milano MI",349 720 7698,https://www.derosmilano.it,4.7,Yes,Google Maps
ZAÏA,restaurants,"P.za Ventiquattro Maggio, 8, 20123 Milano MI",02 8941 5901,https://www.aethos.com/dining/milan-cima,4.6,Yes,Google Maps
Govinda Restaurant,restaurants,"V. Valpetrosa, 5, 20123 Milano MI",02 4941 2043,http://www.govindamilano.it,4.6,Yes,Google Maps
La Rosa dei Venti,restaurants,"V. Piero della Francesca, 34, 20154 Milano MI",02 347338,,4.6,Yes,Google Maps
BLUE M - BOTTEGA MARCHIGIANA,restaurants,"Via Lanzone, 27, 20123 Milano MI",02 9738 6209,http://www.bottegamarchigiana.net,4.6,Yes,Google Maps
Ribot,restaurants,"Via Marco Cremosano, 41, 20148 Milano MI",02 3300 1646,http://www.ribotmilano.it,4.6,Yes,Google Maps
Nerino Dieci Trattoria,restaurants,"Via Nerino, 10, 20123 Milano MI",02 3983 1019,http://www.nerinodieci.it,4.6,Yes,Google Maps
Trippa,restaurants,"Via Giorgio Vasari, 1, 20135 Milano MI",327 668 7908,http://www.trippamilano.it,4.6,Yes,Google Maps
Trattoria de la Trebia Milano,restaurants,"Via Trebbia, 32, 20135 Milano MI",02 551 3380,http://www.trattorialatrebia.it,4.6,Yes,Google Maps
Ristorante Rubacuori,restaurants,"Château Monfort, Corso Concordia, 1, 20129 Milano MI",02 776761,https://www.hotelchateaumonfort.com/it/dining/rubacuori.html,4.6,Yes,Google Maps
Vik Pellico Otto Restaurant,restaurants,"Via Silvio Pellico, 8, 20121 Milano MI",340 606 8187,https://www.vikpellicootto.com,4.6,Yes,Google Maps
SPICE VILLAGE RESTAURANT MILANO HALAL FOODS,restaurants,"Via Franchino Gaffurio, 8, 20124 Milano MI",02 3675 3230,,4.6,Yes,Google Maps
Acanto,restaurants,"Piazza della Repubblica, 17, 20124 Milano MI",02 6230 2026,https://www.dorchestercollection.com/milan/hotel-principe-di-savoia/dining/acanto-restaurant,4.6,Yes,Google Maps
Maccheroni - La Carbonara N°1 di Milano,restaurants,"Via S. Carpoforo, 7, 20121 Milano MI",02 3831 3245,https://maccheronirestaurants.com,4.6,Yes,Google Maps
Cantine MILANO - WINE RESTAURANT,restaurants,"Via Traù, 1, 20159 Milano MI",02 6680 2819,http://www.cantinemilano.com,4.6,Yes,Google Maps
